episode 207, score -96.41, avg score -57.14, eps 0.234
episode 208, score -192.12, avg score -59.28, eps 0.232
episode 209, score 65.64, avg score -57.88, eps 0.230
episode 210, score -155.67, avg score -58.70, eps 0.229
episode 211, score -14.70, avg score -58.16, eps 0.227
episode 212, score 30.10, avg score -56.99, eps 0.226
episode 213, score -25.76, avg score -57.13, eps 0.224
episode 214, score 72.33, avg score -55.66, eps 0.222
episode 215, score 16.48, avg score -55.30, eps 0.221
episode 216, score 78.53, avg score -54.83, eps 0.219
episode 217, score 138.50, avg score -51.51, eps 0.218
episode 218, score -40.37, avg score -51.12, eps 0.216
episode 219, score -2.78, avg score -50.10, eps 0.215
episode 220, score 49.25, avg score -47.91, eps 0.213
episode 221, score 106.16, avg score -46.46, eps 0.212
episode 222, score 79.06, avg score -45.33, eps 0.210
episode 223, score 24.86, avg score -45.43, eps 0.209
episode 224, score 169.84, avg score -41.00, eps 0.207
episode 225, score 137.78, avg score -38.19, eps 0.206
episode 226, score -32.20, avg score -36.19, eps 0.204
episode 227, score 197.97, avg score -33.18, eps 0.203
episode 228, score 74.20, avg score -31.73, eps 0.202
episode 229, score 111.98, avg score -30.67, eps 0.200
episode 230, score -8.11, avg score -30.58, eps 0.199
episode 231, score 219.79, avg score -28.80, eps 0.197
episode 232, score 100.52, avg score -27.19, eps 0.196
episode 233, score 268.88, avg score -24.43, eps 0.195
episode 234, score -69.48, avg score -25.37, eps 0.193
episode 235, score 123.36, avg score -24.01, eps 0.192
episode 236, score 203.73, avg score -22.22, eps 0.191
episode 237, score 210.05, avg score -17.53, eps 0.189
episode 238, score -104.26, avg score -18.29, eps 0.188
episode 239, score 21.11, avg score -15.87, eps 0.187
episode 240, score 83.89, avg score -15.88, eps 0.185
episode 241, score 111.60, avg score -13.97, eps 0.184
episode 242, score 145.31, avg score -12.32, eps 0.183
episode 243, score 197.00, avg score -10.63, eps 0.181
episode 244, score -110.48, avg score -11.06, eps 0.180
episode 245, score -35.17, avg score -10.85, eps 0.179
episode 246, score 208.81, avg score -3.67, eps 0.178
episode 247, score 124.20, avg score -2.39, eps 0.176
episode 248, score -89.92, avg score -2.71, eps 0.175
episode 249, score 85.09, avg score -2.43, eps 0.174
episode 250, score 100.61, avg score 0.55, eps 0.173
episode 251, score 132.72, avg score 2.15, eps 0.171
episode 252, score -15.02, avg score 2.44, eps 0.170
episode 253, score 272.56, avg score 5.00, eps 0.169
episode 254, score 7.85, avg score 4.73, eps 0.168
episode 255, score -211.68, avg score 3.05, eps 0.167
episode 256, score 153.56, avg score 5.73, eps 0.166
episode 257, score -5.51, avg score 6.42, eps 0.164
episode 258, score 71.02, avg score 7.11, eps 0.163
episode 259, score 230.80, avg score 10.18, eps 0.162
episode 260, score 85.75, avg score 12.22, eps 0.161
episode 261, score 40.74, avg score 12.75, eps 0.160
episode 262, score -18.80, avg score 12.69, eps 0.159
episode 263, score 46.55, avg score 13.59, eps 0.158
episode 264, score -24.12, avg score 13.30, eps 0.157
episode 265, score -0.51, avg score 14.22, eps 0.155
episode 266, score 143.73, avg score 18.74, eps 0.154
episode 267, score 190.89, avg score 24.45, eps 0.153
episode 268, score 151.43, avg score 27.78, eps 0.152
episode 269, score 153.93, avg score 30.67, eps 0.151
episode 270, score 285.17, avg score 34.10, eps 0.150
episode 271, score 246.00, avg score 37.30, eps 0.149
episode 272, score 152.00, avg score 39.30, eps 0.148
episode 273, score 194.88, avg score 41.61, eps 0.147
episode 274, score 220.26, avg score 44.28, eps 0.146
episode 275, score 157.33, avg score 45.91, eps 0.145
episode 276, score 252.80, avg score 49.05, eps 0.144
episode 277, score -25.45, avg score 49.12, eps 0.143
episode 278, score 36.90, avg score 49.85, eps 0.142
episode 279, score 227.95, avg score 51.51, eps 0.141
episode 280, score 191.78, avg score 55.18, eps 0.140
episode 281, score 211.49, avg score 57.14, eps 0.139
episode 282, score 93.12, avg score 58.05, eps 0.138
episode 283, score 220.28, avg score 60.41, eps 0.137
episode 284, score 184.81, avg score 61.99, eps 0.136
episode 285, score 208.07, avg score 65.06, eps 0.135
episode 286, score 173.26, avg score 66.33, eps 0.134
episode 287, score 111.65, avg score 67.69, eps 0.133
episode 288, score -142.52, avg score 66.04, eps 0.132
episode 289, score 67.38, avg score 66.64, eps 0.131
episode 290, score -42.00, avg score 66.18, eps 0.130
episode 291, score 303.80, avg score 69.36, eps 0.129
episode 292, score 95.91, avg score 69.62, eps 0.129
episode 293, score 217.27, avg score 75.55, eps 0.128
episode 294, score 208.03, avg score 80.14, eps 0.127
episode 295, score 129.23, avg score 80.96, eps 0.126
episode 296, score 281.90, avg score 83.40, eps 0.125
episode 297, score 211.93, avg score 85.07, eps 0.124
episode 298, score -20.21, avg score 85.65, eps 0.123
episode 299, score -166.58, avg score 84.59, eps 0.122

episode 300, score 250.50, avg score 86.74, eps 0.122
episode 301, score 276.81, avg score 89.94, eps 0.121
episode 302, score 40.75, avg score 88.85, eps 0.120
episode 303, score 262.52, avg score 92.41, eps 0.119
episode 304, score 254.58, avg score 95.40, eps 0.118
episode 305, score -253.21, avg score 92.43, eps 0.117
episode 306, score 265.81, avg score 93.69, eps 0.117
episode 307, score 36.20, avg score 95.02, eps 0.116
episode 308, score 200.92, avg score 98.95, eps 0.115
episode 309, score 277.51, avg score 101.07, eps 0.114
episode 310, score 143.92, avg score 104.06, eps 0.113
episode 311, score 183.50, avg score 106.05, eps 0.113
episode 312, score 145.27, avg score 107.20, eps 0.112
episode 313, score 210.58, avg score 109.56, eps 0.111
episode 314, score 154.98, avg score 110.39, eps 0.110
episode 315, score 181.25, avg score 112.04, eps 0.109
episode 316, score 139.62, avg score 112.65, eps 0.109
episode 317, score 219.00, avg score 113.45, eps 0.108
episode 318, score 57.29, avg score 114.43, eps 0.107
episode 319, score 153.45, avg score 115.99, eps 0.106
episode 320, score 158.07, avg score 117.08, eps 0.106
episode 321, score 186.22, avg score 117.88, eps 0.105
episode 322, score 157.16, avg score 118.66, eps 0.104
episode 323, score 144.88, avg score 119.86, eps 0.103
episode 324, score 73.49, avg score 118.90, eps 0.103
episode 325, score 167.89, avg score 119.20, eps 0.102
episode 326, score 48.89, avg score 120.01, eps 0.101
episode 327, score 200.16, avg score 120.03, eps 0.101
episode 328, score 214.51, avg score 121.43, eps 0.100
episode 329, score 205.09, avg score 122.36, eps 0.099
episode 330, score 257.74, avg score 125.02, eps 0.098
episode 331, score -168.93, avg score 121.14, eps 0.098
episode 332, score 197.03, avg score 122.10, eps 0.097
episode 333, score 173.47, avg score 121.15, eps 0.096
episode 334, score -307.38, avg score 118.77, eps 0.096
episode 335, score -185.49, avg score 115.68, eps 0.095
episode 336, score 228.04, avg score 115.92, eps 0.094
episode 337, score 211.96, avg score 115.94, eps 0.094
episode 338, score -147.35, avg score 115.51, eps 0.093
episode 339, score 238.39, avg score 117.68, eps 0.092
episode 340, score 253.26, avg score 119.38, eps 0.092
episode 341, score 238.99, avg score 120.65, eps 0.091
episode 342, score 226.19, avg score 121.46, eps 0.090
episode 343, score 193.67, avg score 121.43, eps 0.090
episode 344, score 140.95, avg score 123.94, eps 0.089
episode 345, score 279.43, avg score 127.09, eps 0.089
episode 346, score -15.03, avg score 124.85, eps 0.088
episode 347, score -414.46, avg score 119.46, eps 0.087
episode 348, score -52.66, avg score 119.83, eps 0.087
episode 349, score 221.44, avg score 121.20, eps 0.086
episode 350, score 203.78, avg score 122.23, eps 0.086
episode 351, score 128.54, avg score 122.19, eps 0.085
episode 352, score 247.56, avg score 124.81, eps 0.084
episode 353, score 101.00, avg score 123.10, eps 0.084
episode 354, score 208.63, avg score 125.11, eps 0.083
episode 355, score 182.80, avg score 129.05, eps 0.083
episode 356, score 174.31, avg score 129.26, eps 0.082
episode 357, score 170.03, avg score 131.01, eps 0.081
episode 358, score 139.37, avg score 131.70, eps 0.081
episode 359, score 18.40, avg score 129.57, eps 0.080
episode 360, score 167.30, avg score 130.39, eps 0.080
episode 361, score 248.50, avg score 132.47, eps 0.079
episode 362, score 180.50, avg score 134.46, eps 0.079
episode 363, score 74.24, avg score 134.74, eps 0.078
episode 364, score 236.21, avg score 137.34, eps 0.078
episode 365, score 170.51, avg score 139.05, eps 0.077
episode 366, score 187.73, avg score 139.49, eps 0.076
episode 367, score -170.83, avg score 135.87, eps 0.076
episode 368, score 232.44, avg score 136.68, eps 0.075
episode 369, score 10.45, avg score 135.25, eps 0.075
episode 370, score 248.92, avg score 134.89, eps 0.074
episode 371, score 190.81, avg score 134.33, eps 0.074
episode 372, score 144.89, avg score 134.26, eps 0.073
episode 373, score 96.10, avg score 133.27, eps 0.073
episode 374, score -81.07, avg score 130.26, eps 0.072
episode 375, score 277.05, avg score 131.46, eps 0.072
episode 376, score 212.16, avg score 131.05, eps 0.071
episode 377, score 92.43, avg score 132.23, eps 0.071
episode 378, score 200.29, avg score 133.86, eps 0.070
episode 379, score -241.59, avg score 129.17, eps 0.070
episode 380, score 279.84, avg score 130.05, eps 0.069
episode 381, score 51.09, avg score 128.45, eps 0.069
episode 382, score 222.18, avg score 129.74, eps 0.068
episode 383, score 133.50, avg score 128.87, eps 0.068
episode 384, score 248.29, avg score 129.50, eps 0.067
episode 385, score 273.89, avg score 130.16, eps 0.067
episode 386, score 126.45, avg score 129.69, eps 0.066
episode 387, score 222.73, avg score 130.80, eps 0.066
episode 388, score 270.62, avg score 134.94, eps 0.066
episode 389, score 195.03, avg score 136.21, eps 0.065
episode 390, score 137.87, avg score 138.01, eps 0.065
episode 391, score 8.93, avg score 135.06, eps 0.064
episode 392, score -49.23, avg score 133.61, eps 0.064
episode 393, score -9.54, avg score 131.34, eps 0.063
episode 394, score 204.95, avg score 131.31, eps 0.063
episode 395, score 217.31, avg score 132.19, eps 0.062
episode 396, score 260.40, avg score 131.98, eps 0.062
episode 397, score 279.96, avg score 132.66, eps 0.061
episode 398, score 208.36, avg score 134.94, eps 0.061
episode 399, score 200.34, avg score 138.61, eps 0.061
episode 400, score 262.25, avg score 138.73, eps 0.060
episode 401, score 186.74, avg score 137.83, eps 0.060
episode 402, score 301.20, avg score 140.43, eps 0.059
episode 403, score 255.44, avg score 140.36, eps 0.059
episode 404, score 46.21, avg score 138.28, eps 0.059
episode 405, score 204.34, avg score 142.86, eps 0.058
episode 406, score 200.41, avg score 142.20, eps 0.058
episode 407, score 258.97, avg score 144.43, eps 0.057
episode 408, score 247.71, avg score 144.90, eps 0.057
episode 409, score 258.15, avg score 144.70, eps 0.057
episode 410, score 207.08, avg score 145.34, eps 0.056
episode 411, score 275.70, avg score 146.26, eps 0.056
episode 412, score 171.92, avg score 146.52, eps 0.055
episode 413, score 279.26, avg score 147.21, eps 0.055
episode 414, score 204.96, avg score 147.71, eps 0.055
episode 415, score 249.11, avg score 148.39, eps 0.054
episode 416, score 194.13, avg score 148.93, eps 0.054
episode 417, score 240.57, avg score 149.15, eps 0.053
episode 418, score 188.06, avg score 150.46, eps 0.053
episode 419, score 222.90, avg score 151.15, eps 0.053
episode 420, score 276.29, avg score 152.33, eps 0.052
episode 421, score 260.23, avg score 153.07, eps 0.052
episode 422, score 206.91, avg score 153.57, eps 0.052
episode 423, score 227.91, avg score 154.40, eps 0.051
episode 424, score 228.04, avg score 155.95, eps 0.051
episode 425, score 221.54, avg score 156.48, eps 0.051
episode 426, score 284.53, avg score 158.84, eps 0.050
episode 427, score 236.25, avg score 159.20, eps 0.050
episode 428, score 220.12, avg score 159.26, eps 0.049
episode 429, score 264.99, avg score 159.86, eps 0.049
episode 430, score 212.35, avg score 159.40, eps 0.049
episode 431, score 238.47, avg score 163.48, eps 0.048
episode 432, score 240.46, avg score 163.91, eps 0.048
episode 433, score 274.93, avg score 164.93, eps 0.048
episode 434, score 229.17, avg score 170.29, eps 0.047
episode 435, score 210.26, avg score 174.25, eps 0.047
episode 436, score 232.76, avg score 174.30, eps 0.047
episode 437, score 204.11, avg score 174.22, eps 0.046
episode 438, score 271.32, avg score 178.40, eps 0.046
episode 439, score 234.10, avg score 178.36, eps 0.046
episode 440, score 252.21, avg score 178.35, eps 0.045
episode 441, score 266.27, avg score 178.62, eps 0.045
episode 442, score 251.57, avg score 178.88, eps 0.045
episode 443, score 245.68, avg score 179.40, eps 0.045
episode 444, score 239.76, avg score 180.39, eps 0.044
episode 445, score 250.22, avg score 180.09, eps 0.044
episode 446, score 255.60, avg score 182.80, eps 0.044
episode 447, score 216.30, avg score 189.11, eps 0.043
episode 448, score 229.25, avg score 191.93, eps 0.043
episode 449, score 216.24, avg score 191.87, eps 0.043

episode 450, score 227.31, avg score 192.11, eps 0.042
episode 451, score 184.21, avg score 192.67, eps 0.042
episode 452, score 246.42, avg score 192.65, eps 0.042
episode 453, score 227.32, avg score 193.92, eps 0.041
episode 454, score 224.34, avg score 194.08, eps 0.041
episode 455, score 270.45, avg score 194.95, eps 0.041
episode 456, score -90.05, avg score 192.31, eps 0.041
episode 457, score 202.49, avg score 192.63, eps 0.040
episode 458, score 230.81, avg score 193.55, eps 0.040
episode 459, score 230.01, avg score 195.66, eps 0.040
episode 460, score 269.75, avg score 196.69, eps 0.040
episode 461, score 191.91, avg score 196.12, eps 0.039
episode 462, score 216.69, avg score 196.48, eps 0.039
episode 463, score 271.91, avg score 198.46, eps 0.039
episode 464, score 266.93, avg score 198.77, eps 0.038
episode 465, score 217.08, avg score 199.23, eps 0.038
episode 466, score 233.29, avg score 199.69, eps 0.038
episode 467, score 209.95, avg score 203.50, eps 0.038
episode 468, score 207.45, avg score 203.25, eps 0.037
episode 469, score 192.22, avg score 205.06, eps 0.037
episode 470, score 197.73, avg score 204.55, eps 0.037
episode 471, score 137.87, avg score 204.02, eps 0.037
episode 472, score 194.40, avg score 204.52, eps 0.036
episode 473, score 174.08, avg score 205.30, eps 0.036
episode 474, score 200.24, avg score 208.11, eps 0.036
episode 475, score 8.23, avg score 205.42, eps 0.036
episode 476, score 222.42, avg score 205.53, eps 0.035
episode 477, score 180.05, avg score 206.40, eps 0.035
episode 478, score 269.30, avg score 207.09, eps 0.035
episode 479, score 229.52, avg score 211.80, eps 0.035
episode 480, score 204.08, avg score 211.05, eps 0.034
episode 481, score 251.98, avg score 213.05, eps 0.034
episode 482, score 238.53, avg score 213.22, eps 0.034
episode 483, score 217.72, avg score 214.06, eps 0.034
episode 484, score 244.83, avg score 214.03, eps 0.033
episode 485, score 192.96, avg score 213.22, eps 0.033
episode 486, score 215.26, avg score 214.10, eps 0.033
episode 487, score 281.75, avg score 214.69, eps 0.033
episode 488, score 96.68, avg score 212.95, eps 0.032
episode 489, score 226.04, avg score 213.26, eps 0.032
episode 490, score 238.76, avg score 214.27, eps 0.032
episode 491, score 203.30, avg score 216.22, eps 0.032
episode 492, score -144.30, avg score 215.27, eps 0.032
episode 493, score -259.60, avg score 212.77, eps 0.031
episode 494, score 233.16, avg score 213.05, eps 0.031
episode 495, score 48.11, avg score 211.36, eps 0.031
episode 496, score 272.07, avg score 211.47, eps 0.031
episode 497, score 245.65, avg score 211.13, eps 0.030
episode 498, score 217.67, avg score 211.22, eps 0.030
episode 499, score -103.11, avg score 208.19, eps 0.030
episode 500, score 231.63, avg score 207.88, eps 0.030
episode 501, score 241.52, avg score 208.43, eps 0.030
